0,0,45,53,0,17,22
1,13,61,101,6,30,50
2,9,121,222,0,73,141
3,51,179,165,9,118,109
4,119,200,216,22,136,159
5,214,149,238,182,105,210
6,147,100,210,103,59,161
7,97,25,195,54,9,123
8,5,117,98,0,58,49
9,0,188,0,8,133,8
10,136,216,23,73,148,0
11,164,226,147,85,170,61
12,243,240,124,193,190,45
13,255,220,26,185,157,0
14,255,169,83,207,116,26
15,255,138,0,183,82,0
16,166,2,2,98,0,16
17,207,11,89,133,6,48
18,250,117,150,190,61,93
19,255,166,166,224,123,123
20,199,189,28,138,130,8
21,151,144,25,99,94,7
22,190,187,182,138,133,125
23,255,255,255,209,201,201
